Entry	Gene ontology IDs
EDO43028	GO:0000981,  GO:0000987,  GO:0005634,  GO:0045944,  GO:0046983
EDO26353	GO:0006281,  GO:0070182
EDO40988	GO:0003950
EDO41612	
EDO49156	GO:0004601,  GO:0004602,  GO:0006979
EDO34898	GO:0005096,  GO:0006886,  GO:0017137,  GO:0090630
EDO34361	GO:0005375,  GO:0005623,  GO:0005886,  GO:0006878,  GO:0016021
EDO34739	GO:0000775,  GO:0003723,  GO:0005634,  GO:0030702,  GO:0031048,  GO:0031380
EDO30690	GO:0000775,  GO:0003700,  GO:0003723,  GO:0005634,  GO:0008270,  GO:0030702,  GO:0031048,  GO:0031380
EDO40665	GO:0004842,  GO:0008270,  GO:0033209,  GO:0042981,  GO:0043122,  GO:0046330,  GO:0070534
EDO42800	GO:0004930,  GO:0005887,  GO:0007166,  GO:0007189
EDO49195	GO:0000139,  GO:0016021
EDO42799	GO:0005249,  GO:0005251,  GO:0005516,  GO:0008076,  GO:0016021,  GO:0071805
EDO39867	GO:0000209,  GO:0005524,  GO:0006511,  GO:0043161,  GO:0061631
EDO35524	GO:0016021
EDO42880	GO:0002151,  GO:0031011,  GO:0043981,  GO:0043982,  GO:0043984,  GO:0044545,  GO:0045944,  GO:0071339
EDO37669	GO:0002151,  GO:0003678,  GO:0003723,  GO:0005524,  GO:0005634,  GO:0005737,  GO:1990247
EDO35812	GO:0003678,  GO:0003723,  GO:0005524,  GO:0005730,  GO:0043138,  GO:0045944,  GO:0050684,  GO:1990904
EDO32037	GO:0005634,  GO:0005737,  GO:0006606,  GO:0008536
EDO33085	
EDO44395	
EDO36595	GO:0003677,  GO:0003899,  GO:0005665,  GO:0006366,  GO:0046983
EDO41605	
EDO44495	GO:0000254,  GO:0005506,  GO:0005789,  GO:0016020,  GO:0016021,  GO:0016126,  GO:0016491
EDO30703	GO:0001522,  GO:0003723,  GO:0005634,  GO:0009982
EDO35366	
EDO49512	GO:0016021,  GO:0030246,  GO:0038023
EDO39883	GO:0003746,  GO:0003924,  GO:0005525,  GO:0005739,  GO:0006414,  GO:0070125
EDO49801	GO:0008270
EDO49464	GO:0001817,  GO:0004842,  GO:0005164,  GO:0008063,  GO:0008270,  GO:0009898,  GO:0031625,  GO:0032088,  GO:0033209,  GO:0042981,  GO:0043122,  GO:0045087,  GO:0046330,  GO:0050688,  GO:0070534
EDO43168	GO:0000139,  GO:0005975,  GO:0006486,  GO:0015018,  GO:0046872,  GO:0050650
EDO46191	GO:0005524,  GO:0006620,  GO:0016887,  GO:0043529,  GO:0045048,  GO:0046872
EDO48899	GO:0005576,  GO:0030414
EDO47562	GO:0008270,  GO:0016491,  GO:0032451,  GO:0070989
EDO48919	GO:0000209,  GO:0005524,  GO:0005783,  GO:0005829,  GO:0006511,  GO:0030433,  GO:0061631
EDO45492	GO:0004169,  GO:0005789,  GO:0035269,  GO:0071712
EDO43375	GO:0016021
EDO37512	GO:0004126,  GO:0005829,  GO:0008270,  GO:0009972
EDO46289	GO:0000786,  GO:0000790,  GO:0003677,  GO:0006325,  GO:0006342,  GO:0046982
EDO40777	
EDO41606	
EDO32784	GO:0005634,  GO:0006606
EDO38492	GO:0008180,  GO:0010387
